Date;WorkoutName;ExerciseName;SetNumber;Weight;Reps;Notes;WorkoutNotes;WorkoutDuration
2023-01-06 22:33:22;"Chest + Tricep & Shoulders";"Triceps Extension";3;32;10;;;36m
2023-01-06 22:33:22;"Chest + Tricep & Shoulders";"Lateral Raise (Dumbbell)";1;7;10;;;"Shoulders";36m
2023-01-06 22:33:22;"Chest + Tricep & Shoulders";"Lateral Raise (Dumbbell)";2;7;10;;;36m
2023-01-06 22:33:22;"Chest + Tricep & Shoulders";"Lateral Raise (Dumbbell)";3;6;12;;;36m
2023-01-08 21:57:42;"Pull";"Bent Over Row (Barbell)";1;12;20;;;"Back";1h 10m
2023-01-08 21:57:42;"Pull";"Bent Over Row (Barbell)";2;40;12;;;1h 10m
2023-01-08 21:57:42;"Pull";"Bent Over Row (Barbell)";3;60;8;;;1h 10m
2023-01-08 21:57:42;"Pull";"Bent Over Row (Barbell)";4;65;6;;;1h 10m
2023-01-08 21:57:42;"Pull";"Lat Pulldown (Machine)";1;60;12;;;1h 10m
2023-01-08 21:57:42;"Pull";"Lat Pulldown (Machine)";2;80;10;;;1h 10m
2023-01-08 21:57:42;"Pull";"Lat Pulldown (Machine)";3;100;10;;;1h 10m
2023-01-08 21:57:42;"Pull";"Seated Row (Cable)";1;32;12;;;1h 10m
2023-01-08 21:57:42;"Pull";"Seated Row (Cable)";2;39;10;;;1h 10m
2023-01-08 21:57:42;"Pull";"Seated Row (Cable)";3;45;12;;;1h 10m
2023-01-08 21:57:42;"Pull";"Face Pull (Cable)";1;18;15;;;1h 10m
2023-01-08 21:57:42;"Pull";"Face Pull (Cable)";2;18;15;;;1h 10m
2023-01-08 21:57:42;"Pull";"Face Pull (Cable)";3;18;12;;;1h 10m
2023-01-08 21:57:42;"Pull";"Single Arm Bicep Curl (cable)";1;14;10;;;"Arms";1h 10m
2023-01-08 21:57:42;"Pull";"Single Arm Bicep Curl (cable)";2;18;10;;;1h 10m
2023-01-08 21:57:42;"Pull";"Single Arm Bicep Curl (cable)";3;14;12;;;1h 10m
2023-01-08 21:57:42;"Pull";"Bicep Curl (Barbell)";1;30;8;;;1h 10m
2023-01-09 22:20:36;"Legs";"Lying Leg Curl (Machine)";1;41;10;;;1h 19m
2023-01-09 22:20:36;"Legs";"Lying Leg Curl (Machine)";2;50;10;;;1h 19m
2023-01-09 22:20:36;"Legs";"Lying Leg Curl (Machine)";3;54;8;;;1h 19m
2023-01-09 22:20:36;"Legs";"Standing Calf Raise (Machine)";1;45;15;;;1h 19m
2023-01-09 22:20:36;"Legs";"Standing Calf Raise (Machine)";2;52;15;;;1h 19m
2023-01-09 22:20:36;"Legs";"Standing Calf Raise (Machine)";3;45;15;;;1h 19m
2023-01-09 22:20:36;"Legs";"Squat (Barbell)";1;20;15;;;1h 19m
2023-01-09 22:20:36;"Legs";"Squat (Barbell)";2;60;8;;;1h 19m
2023-01-09 22:20:36;"Legs";"Squat (Barbell)";3;80;6;;;1h 19m
2023-01-09 22:20:36;"Legs";"Squat (Barbell)";4;95;5;;;1h 19m
2023-01-09 22:20:36;"Legs";"Squat (Barbell)";5;70;8;;;1h 19m
2023-01-09 22:20:36;"Legs";"Glute Ham Raise";1;10;12;;;1h 19m
2023-01-09 22:20:36;"Legs";"Glute Ham Raise";2;10;12;;;1h 19m
2023-01-09 22:20:36;"Legs";"Glute Ham Raise";3;10;12;;;1h 19m
2023-01-09 22:20:36;"Legs";"Romanian Deadlift (Dumbbell)";1;32;12;;;1h 19m
2023-01-09 22:20:36;"Legs";"Romanian Deadlift (Dumbbell)";2;36;12;;;1h 19m
2023-01-09 22:20:36;"Legs";"Romanian Deadlift (Dumbbell)";3;40;12;;;1h 19m
2023-01-09 22:20:36;"Legs";"Leg Extension (Machine)";1;39;12;;;1h 19m
2023-01-09 22:20:36;"Legs";"Leg Extension (Machine)";2;52;12;;;1h 19m
2023-01-09 22:20:36;"Legs";"Leg Extension (Machine)";3;52;10;;;1h 19m
